1647302400000,0.3223,0.35385,0.2746,0.33171,608418094.0
1647388800000,0.33111,0.558,0.315,0.55501,3448787796.0
1647475200000,0.55501,0.84421,0.53116,0.83013,4677686713.0
1647561600000,0.83013,0.83038,0.652,0.69824,3032955909.0
1647648000000,0.69823,0.772,0.65025,0.67149,1152314559.0
1647734400000,0.67149,0.70266,0.574,0.57773,1015960793.0
1647820800000,0.57809,0.827,0.57607,0.79668,3326548314.0
1647907200000,0.79703,0.894,0.75408,0.80518,2166046165.0
1647993600000,0.80516,0.822,0.7323,0.76881,851671281.0
1648080000000,0.76894,0.789,0.68762,0.70072,534939987.0
1648166400000,0.70071,0.79797,0.67241,0.78047,1167919505.0
1648252800000,0.7805,0.838,0.75,0.7644,922407288.0
1648339200000,0.7644,0.795,0.73543,0.77213,391234199.0
1648425600000,0.77213,1.1495,0.76532,1.13112,2489516349.0
1648512000000,1.13111,1.88076,1.03166,1.68207,3521377984.0
1648598400000,1.68205,2.3198,1.6115,2.03446,3525809346.0
1648684800000,2.03447,2.4855,1.78388,2.30656,2326559890.0
